id,created_at,updated_at,user,name,phone,email,courier,shippingMethod,shippingCost,totalProduct,totalPrice,transactionId
1961,2023-11-06 05:46:25,2023-11-06 05:46:25,1961,hello,08889222111,holyraven@gmail.com,jne,CTCYES Rp. 18000 Estimasi 1-1,18000,1,196000,9b89a7f0-11af-4dd2-8f26-422537a89141
1,2023-11-03 07:18:33,2023-11-03 07:18:33,1,hafizhan shidqi,+1-722-833-3646x247,hafizhan_shidqi@gmail.com,TIKI,ONS Rp.18000 Estimasi 1,18000,1,147000,trs-e70b1a13-a23e-48e0-9458-89913de31b75
2,2023-11-03 07:18:33,2023-11-03 07:18:33,2,gandhi wibowo,771.349.2456x8358,gandhi_wibowo@gmail.com,POS INDONESIA,Pos Sameday Rp.17000 0 HARI,17000,1,172000,trs-bd4283eb-fd1e-4ec2-943c-73496925a08c
3,2023-11-03 07:18:33,2023-11-03 07:18:33,3,aldio mahendra purwandrarto,575.889.0159,aldio_mahendra_purwandrarto@gmail.com,JNE,CTC Rp.10000 Estimasi 1-2,10000,1,260000,trs-97a6e382-d4fe-4f05-b0a3-eff0a4e3b50c
4,2023-11-03 07:18:33,2023-11-03 07:18:33,4,benny putra,001-685-220-8373x0575,benny_putra@gmail.com,TIKI,ONS Rp.18000 Estimasi 1,18000,1,167000,trs-f42eabea-4625-40d5-8f40-e22ac2b39546
5,2023-11-03 07:18:33,2023-11-03 07:18:33,5,vicky vernando dasta,8428166517,vicky_vernando_dasta@gmail.com,POS INDONESIA,Pos Sameday Rp.17000 0 HARI,17000,1,166000,trs-5b7ab687-5363-46ad-9a16-68c69a7abab3
6,2023-11-03 07:18:33,2023-11-03 07:18:33,6,jufianto henri,811-453-0200,jufianto_henri@gmail.com,JNE,CTC Rp.10000 Estimasi 1-2,10000,1,24900,trs-cc1e3680-884c-48bf-9250-717ebfc3f647
7,2023-11-03 07:18:32,2023-11-03 07:18:32,7,aan nuraini,+1-878-343-5835x4893,aan_nuraini@gmail.com,TIKI,ONS Rp.18000 Estimasi 1,18000,1,107900,trs-c7f87986-25a5-4166-8273-b38d23870c61
8,2023-11-03 07:18:32,2023-11-03 07:18:32,8,abdur rahman,406-204-0459x24680,abdur_rahman@gmail.com,POS INDONESIA,Pos Sameday Rp.17000 0 HARI,17000,1,168900,trs-6382a30a-840f-40d4-a8a2-3e9e354d87f2
9,2023-11-03 07:18:32,2023-11-03 07:18:32,9,abdurrahman,+1-369-874-0786,abdurrahman@gmail.com,JNE,CTC Rp.10000 Estimasi 1-2,10000,1,144900,trs-40806ca1-bace-492d-b40d-baf5204751fe
10,2023-11-03 07:18:32,2023-11-03 07:18:32,10,ade indra sukma,844-516-1577,ade_indra_sukma@gmail.com,TIKI,ONS Rp.18000 Estimasi 1,18000,1,63900,trs-f1681b0f-11c4-4e2b-bbff-7fcde2cf1873
11,2023-11-03 07:18:32,2023-11-03 07:18:32,11,ade irmayani,+1-771-972-3665x90964,ade_irmayani@gmail.com,POS INDONESIA,Pos Sameday Rp.17000 0 HARI,17000,1,55500,trs-0870f7b2-d4dc-4e9f-9471-2ec8bfcc3a2e
12,2023-11-03 07:18:32,2023-11-03 07:18:32,12,bakti yoga fiyandana,(666)551-6105x52806,bakti_yoga_fiyandana@gmail.com,JNE,CTC Rp.10000 Estimasi 1-2,10000,1,551500,trs-65020b38-acf8-4991-b1d5-7d234f96bd52
13,2023-11-03 07:18:32,2023-11-03 07:18:32,13,daniel sepra fatama,+1-553-470-4135x17458,daniel_sepra_fatama@gmail.com,TIKI,ONS Rp.18000 Estimasi 1,18000,1,559500,trs-abecc413-068e-4660-b15c-36c7f849faf9
14,2023-11-03 07:18:32,2023-11-03 07:18:32,14,dayu m sandro,630-694-8233x373,dayu_m_sandro@gmail.com,POS INDONESIA,Pos Sameday Rp.17000 0 HARI,17000,1,141500,trs-1deb5e98-d11d-4cab-a3d0-f6f3eb645dd5
15,2023-11-03 07:18:32,2023-11-03 07:18:32,15,dean mareti hariani,934-538-3811,dean_mareti_hariani@gmail.com,JNE,CTC Rp.10000 Estimasi 1-2,10000,1,188000,trs-51f9606b-8685-4c97-94b1-15ed574132f8
