id,created_at,updated_at,alamat,provinsi,negara,kota,order
1961,2023-11-06 05:46:25,2023-11-06 05:46:25,helloo,DKI Jakarta,indonesia,Jakarta Pusat,1961
1,2023-11-03 07:34:18,2023-11-03 07:34:18,"Jln. Akasia, Bekasi, Jawa Barat, Indonesia",Jawa Barat,Indonesia,Bekasi,1
2,2023-11-03 07:34:18,2023-11-03 07:34:18,"Jln. P Bangka, Bekasi, Jawa Barat, Indonesia",Jawa Barat,Indonesia,Bekasi,2
3,2023-11-03 07:34:18,2023-11-03 07:34:18,"Jln. Raya Industri Jababeka, Bekasi, Jawa Barat, Indonesia",Jawa Barat,Indonesia,Bekasi,3
4,2023-11-03 07:34:18,2023-11-03 07:34:18,"Jln. Ahmad Yani, Bekasi, Jawa Barat, Indonesia",Jawa Barat,Indonesia,Bekasi,4
5,2023-11-03 07:34:18,2023-11-03 07:34:18,"Jln. Raya Kalimalang, Bekasi, Jawa Barat, Indonesia",Jawa Barat,Indonesia,Bekasi,5
6,2023-11-03 07:34:18,2023-11-03 07:34:18,"Jln. Raya Margonda, Bekasi, Jawa Barat, Indonesia",Jawa Barat,Indonesia,Bekasi,6
7,2023-11-03 07:34:18,2023-11-03 07:34:18,"Jln. Sudirman, Bekasi, Jawa Barat, Indonesia",Jawa Barat,Indonesia,Bekasi,7
8,2023-11-03 07:34:18,2023-11-03 07:34:18,"Jln. Gatot Subroto, Bekasi, Jawa Barat, Indonesia",Jawa Barat,Indonesia,Bekasi,8
9,2023-11-03 07:34:18,2023-11-03 07:34:18,"Jln. Raya Cikampek, Bekasi, Jawa Barat, Indonesia",Jawa Barat,Indonesia,Bekasi,9
10,2023-11-03 07:34:18,2023-11-03 07:34:18,"Jln. Raya Bogor, Bekasi, Jawa Barat, Indonesia",Jawa Barat,Indonesia,Bekasi,10
11,2023-11-03 07:34:18,2023-11-03 07:34:18,"Jln. Riau, Bandung, Jawa Barat, Indonesia",Jawa Barat,Indonesia,Bandung,11
12,2023-11-03 07:34:18,2023-11-03 07:34:18,"Jln. Braga, Bandung, Jawa Barat, Indonesia",Jawa Barat,Indonesia,Bandung,12
13,2023-11-03 07:34:17,2023-11-03 07:34:17,"Jln. Asia Afrika, Bandung, Jawa Barat, Indonesia",Jawa Barat,Indonesia,Bandung,13
14,2023-11-03 07:34:17,2023-11-03 07:34:17,"Jln. Dago, Bandung, Jawa Barat, Indonesia",Jawa Barat,Indonesia,Bandung,14
