id,created_at,updated_at,alamat,provinsi,negara,kota,order
1966,2023-11-22 00:33:43,2023-11-22 00:33:43,hello,DKI Jakarta,indonesia,Jakarta Timur,1966
1965,2023-11-22 00:31:52,2023-11-22 00:31:52,Jakarta,DKI Jakarta,indonesia,Jakarta Timur,1965
1964,2023-11-15 13:58:35,2023-11-15 13:58:35,jl.ahmad yani,DKI Jakarta,indonesia,Jakarta Barat,1964
1963,2023-11-15 13:42:10,2023-11-15 13:42:10,Jakarta,DKI Jakarta,indonesia,Jakarta Pusat,1963
1962,2023-11-15 13:21:47,2023-11-15 13:21:47,Jakarta,DKI Jakarta,indonesia,Jakarta Selatan,1962
1961,2023-11-06 05:46:25,2023-11-15 10:47:31,helloo,DKI Jakarta,indonesia,Jakarta Pusat,1961
12,2023-11-03 07:34:18,2023-11-15 10:47:32,"Jln. Braga, Bandung, Jawa Barat, Indonesia",Jawa Barat,Indonesia,Bandung,12
11,2023-11-03 07:34:18,2023-11-15 10:47:32,"Jln. Riau, Bandung, Jawa Barat, Indonesia",Jawa Barat,Indonesia,Bandung,11
10,2023-11-03 07:34:18,2023-11-15 10:47:32,"Jln. Raya Bogor, Bekasi, Jawa Barat, Indonesia",Jawa Barat,Indonesia,Bekasi,10
9,2023-11-03 07:34:18,2023-11-15 10:47:32,"Jln. Raya Cikampek, Bekasi, Jawa Barat, Indonesia",Jawa Barat,Indonesia,Bekasi,9
8,2023-11-03 07:34:18,2023-11-15 10:47:32,"Jln. Gatot Subroto, Bekasi, Jawa Barat, Indonesia",Jawa Barat,Indonesia,Bekasi,8
7,2023-11-03 07:34:18,2023-11-15 10:47:32,"Jln. Sudirman, Bekasi, Jawa Barat, Indonesia",Jawa Barat,Indonesia,Bekasi,7
6,2023-11-03 07:34:18,2023-11-15 10:47:32,"Jln. Raya Margonda, Bekasi, Jawa Barat, Indonesia",Jawa Barat,Indonesia,Bekasi,6
5,2023-11-03 07:34:18,2023-11-15 10:47:32,"Jln. Raya Kalimalang, Bekasi, Jawa Barat, Indonesia",Jawa Barat,Indonesia,Bekasi,5
4,2023-11-03 07:34:18,2023-11-15 10:47:32,"Jln. Ahmad Yani, Bekasi, Jawa Barat, Indonesia",Jawa Barat,Indonesia,Bekasi,4
3,2023-11-03 07:34:18,2023-11-15 10:47:32,"Jln. Raya Industri Jababeka, Bekasi, Jawa Barat, Indonesia",Jawa Barat,Indonesia,Bekasi,3
